row,content_date
4970,20-ago-87
4971,22-dic-89
4975,dic-88
4976,dic-88
4977,dic-88
4978,dic-88
4979,dic-88
4980,dic-88
4981,dic-88
4982,dic-88
4983,dic-88
4994,29-abr-88
5001,15-dic-89
5004,22-dic-89
5005,15-dic-89
5011,20-dic-91
5013,c
5014,04-ago-84
5033,15-dic-89
5035,22-dic-89
5038,01-dic-90
5041,01-dic-90
5042,22-dic-89
5043,15-dic-89
5044,15-dic-89
5045,22-dic-89
5048,04-ago-84
5053,15-dic-89
5055,15-dic-89
5060,22-dic-89
5063,04-ago-84
5067,20-dic-91
5070,20-dic-91
5071,20-dic-91
5075,16-dic-92
5076,16-dic-92
5077,16-dic-92
5078,16-dic-92
5079,16-dic-92
5080,16-dic-92
5081,16-dic-92
5082,16-dic-92
5083,16-dic-92
5084,16-dic-92
5085,16-dic-92
5087,30-dic-87
5088,22-dic-89
5089,30-dic-87
5090,20-dic-91
5092,30-dic-87
5093,04-ago-84
5097,15-dic-89
5098,04-ago-84
5099,04-ago-84
5100,04-ago-84
5102,15-dic-89
5103,04-ago-84
5104,15-dic-89
5109,15-dic-89
5110,15-dic-89
5111,15-dic-89
5112,15-dic-89
5113,22-dic-89
5114,20-dic-91
5115,20-dic-91
5116,20-dic-91
5118,20-dic-91
5119,20-dic-91
5120,"December 30, l987"
5121,15-dic-89
5122,20-dic-91
5123,15-dic-89
5124,22-dic-89
5127,15-dic-89
5132,15-dic-89
5133,20-dic-91
5136,20-dic-91
5141,20-dic-91
5142,20-dic-91
5146,20-dic-91
5149,22-dic-89
5157,20-dic-91
5158,15-dic-89
5159,15-dic-89
5163,"November 24, l987"
5172,20-dic-91
5174,22-dic-89
5177,30-dic-87
5179,30-dic-87
5183,15-dic-89
5184,30-dic-87
5185,30-dic-87
5186,"December 30, l987"
5187,"December 30, l987"
5188,15-dic-89
5191,20-dic-91
5194,20-dic-91
5195,20-dic-91
5196,15-dic-89
5197,20-dic-91
5198,20-dic-91
5199,20-dic-91
5200,22-dic-89
5206,20-dic-91
5207,22-dic-89
5208,15-dic-89
5212,20-dic-91
5216,20-dic-91
5217,22-dic-89
5219,20-dic-91
5220,15-dic-89
5222,20-dic-91
5223,15-dic-89
5224,15-dic-89
5225,15-dic-89
5228,20-dic-91
5235,15-dic-89
5236,15-dic-89
5242,20-dic-91
5243,20-dic-91
5244,20-dic-91
5245,22-dic-89
5250,22-dic-89
5267,22-dic-89
5268,22-dic-89
5271,22-dic-89
5278,20-dic-91
5279,20-dic-91
5280,20-dic-91
5283,22-dic-89
5284,22-dic-89
5285,22-dic-89
5288,"March 1, l989"
5289,"March 1, l989"
5292,20-dic-91
5293,30-dic-87
5294,30-dic-87
5295,"November 24, l987"
5305,30-dic-87
5306,"November 24, l987"
5307,"November 24, l987"
5309,22-dic-89
5345,"November 24, l987"
5355,20-dic-91
5356,22-dic-89
5357,22-dic-89
5358,22-dic-89
5359,22-dic-89
5367,22-dic-89
5368,22-dic-89
5370,22-dic-89
5371,30-dic-87
5379,20-dic-91
5380,"March 1, l989"
5387,15-dic-89
5389,20-dic-91
5398,22-dic-89
5418,22-dic-89
5422,30-dic-87
5423,30-dic-87
5425,22-dic-89
5427,22-dic-89
5429,22-dic-89
5434,22-dic-89
5439,15-dic-89
5442,"November 24, l987"
5446,30-dic-87
5447,30-dic-87
5454,20-dic-91
5455,20-dic-91
5458,22-dic-89
5461,20-dic-91
5462,20-dic-91
5464,15-dic-89
5466,15-dic-89
5467,15-dic-89
5468,15-dic-89
5469,15-dic-89
5470,15-dic-89
5471,15-dic-89
5472,15-dic-89
5473,20-dic-91
5474,22-dic-89
5476,20-dic-91
5477,20-dic-91
5478,20-dic-91
5479,"November 24, l987"
5485,22-dic-89
5488,"December 30, l987"
5492,15-dic-89
5495,15-dic-89
5496,15-dic-89
5497,20-dic-91
5498,20-dic-91
5499,20-dic-91
5500,20-dic-91
