Tracking Number,Lat,Lng
M65530,11,-61
M65531,11,-61
M65532,11,-61
M65533,11,-61
M65534,11,-61
M65535,10.46114,-61.25702
M65536,10.46114,-61.25702
M65537,10.46114,-61.25702
M65538,,
M65539,-37.25,-12.5
M65540,-37.25,-12.5
M65541,63.43049,10.39506
M65542,,
M65543,23.9071636199951,54.3335227966309
M65544,23.9071636199951,54.3335227966309
M65545,7.454,151.807
M65546,,
M65547,,
M65548,7.44648,151.84135
M65549,7.44648,151.84135
M65550,7.44648,151.84135
M65551,7.44648,151.84135
M65552,7.44648,151.84135
M65553,7.44648,151.84135
M65554,7.44648,151.84135
M65555,7.44648,151.84135
M65556,7.44648,151.84135
M65557,7.44648,151.84135
M65558,7.44648,151.84135
M65559,7.44648,151.84135
M65560,7.44648,151.84135
M65561,7.44648,151.84135
M65562,7.44648,151.84135
M65563,7.44648,151.84135
M65564,7.44648,151.84135
M65565,7.44648,151.84135
M65566,7.44648,151.84135
M65567,,
M65568,-14.95428,-147.6608
M65569,-19,-142
M65570,-19,-142
M65571,,
M65572,,
M65573,-19,-142
M65574,-19,-142
M65575,-19,-142
M65576,-19,-142
M65577,-19,-142
M65578,-19,-142
M65579,-19,-142
M65580,-19,-142
M65581,-19,-142
M65582,-19,-142
M65583,-19,-142
M65584,-19,-142
M65585,-19,-142
M65586,-19,-142
M65587,-19,-142
M65588,-19,-142
M65589,-19,-142
M65590,-19,-142
M65591,-19,-142
M65592,-19,-142
M65593,-19,-142
M65594,-19,-142
M65595,-19,-142
M65596,-19,-142
M65597,-19,-142
M65598,-19,-142
M65599,-19,-142
M65600,-19,-142
M65601,-19,-142
M65602,-19,-142
M65603,-19,-142
M65604,-19,-142
M65605,-19,-142
M65606,-19,-142
M65607,-19,-142
M65608,-19,-142
M65609,-19,-142
M65610,-19,-142
M65611,-19,-142
M65612,,
M65613,,
M65614,,
M65615,,
M65616,,
M65617,,
M65618,,
M65619,,
M65620,,
M65621,,
M65622,,
M65623,,
M65624,,
M65625,,
M65626,,
M65627,-19,-139
M65628,-19,-139
M65629,-19,-139
M65630,-19,-139
M65631,-19,-139
M65632,-19,-139
M65633,-19,-139
M65634,-19,-139
M65635,-19,-139
M65636,-19,-139
M65637,-19,-142
M65638,-19,-142
M65639,,
M65640,,
M65641,,
M65642,,
M65643,,
M65644,,
M65645,,
M65646,,
M65647,,
M65648,,
M65649,,
M65650,,
M65651,,
M65652,,
M65653,-19,-142
M65654,-19,-142
M65655,-19,-142
M65656,-19,-142
M65657,-19,-142
M65658,-19,-142
M65659,-19,-142
M65660,-19,-142
M65661,-19,-142
M65662,-19,-142
M65663,-19,-142
M65664,-19,-142
M65665,-19,-142
M65666,-19,-142
M65667,13.51389,144.79639
M65668,13.51389,144.79639
M65669,34,9
M65670,34,9
M65671,34,9
M65672,34,9
M65673,36.81897,10.16579
M65674,36.81897,10.16579
M65675,36.81897,10.16579
M65676,,
M65677,,
M65678,-19,-142
M65679,,
M65680,34.39256,-100.89764
M65681,34.39256,-100.89764
M65682,34.39256,-100.89764
M65683,34.39256,-100.89764
M65684,34.39256,-100.89764
M65685,34.39256,-100.89764
M65686,34.39256,-100.89764
M65687,34.39256,-100.89764
M65688,34.39256,-100.89764
M65689,39,35
M65690,39,35
M65691,39,35
M65692,39,35
M65693,39,35
M65694,39,35
M65695,39,35
M65696,39,35
M65697,39,35
M65698,39,35
M65699,39,35
M65700,39,35
M65701,39,35
M65702,39,35
M65703,39,35
M65704,,
M65705,,
M65706,,
M65707,,
M65708,,
M65709,,
M65710,,
M65711,,
M65712,,
M65713,,
M65714,,
M65715,,
M65716,,
M65717,,
M65718,,
M65719,,
M65720,,
M65721,,
M65722,,
M65723,,
M65724,,
M65725,,
M65726,,
M65727,,
M65728,,
M65729,,
M65730,,
M65731,,
M65732,,
M65733,,
M65734,,
M65735,,
M65736,,
M65737,,
M65738,,
M65739,,
M65740,,
M65741,,
M65742,,
M65743,,
M65744,,
M65745,,
M65746,,
M65747,,
M65748,,
M65749,,
M65750,,
M65751,,
M65752,,
M65753,,
M65754,,
M65755,,
M65756,,
M65757,,
M65758,,
M65759,,
M65760,,
M65761,,
M65762,,
M65763,,
M65764,21.73333,-71.58333
M65765,-14.29972,-170.7225
M65766,,
M65767,18.34829,-64.98348
M65768,18.34829,-64.98348
M65769,18.34829,-64.98348
M65770,18.34829,-64.98348
M65771,18.34829,-64.98348
M65772,18.34829,-64.98348
M65773,18.34829,-64.98348
