Tracking Number,Lat,Lng
M15045,22,-79.5
M15046,22,-79.5
M15047,22,-79.5
M15048,22,-79.5
M15049,22,-79.5
M15050,22,-79.5
M15051,22,-79.5
M15052,22,-79.5
M15053,22,-79.5
M15054,22,-79.5
M15055,22,-79.5
M15056,22,-79.5
M15057,22,-79.5
M15058,22,-79.5
M15059,22,-79.5
M15060,22,-79.5
M15061,22,-79.5
M15062,22,-79.5
M15063,22,-79.5
M15064,22,-79.5
M15065,22,-79.5
M15066,22,-79.5
M15067,22,-79.5
M15068,14.6937,-17.44406
M15069,56,10
M15070,56,10
M15071,56,10
M15072,56,10
M15073,15.5,-61.33333
M15074,19,-70.66667
M15075,19,-70.66667
M15076,19,-70.66667
M15077,19,-70.66667
M15078,19,-70.66667
M15079,19,-70.66667
M15080,19,-70.66667
M15081,22,-79.5
M15082,22,-79.5
M15083,10.3117,-74.29786
M15084,10.3117,-74.29786
M15085,10.3117,-74.29786
M15086,10.3117,-74.29786
M15087,22,-79.5
M15088,22,-79.5
M15089,22,-79.5
M15090,22,-79.5
M15091,22,-79.5
M15092,22,-79.5
M15093,22,-79.5
M15094,22,-79.5
M15095,22,-79.5
M15096,22,-79.5
M15097,22,-79.5
M15098,22,-79.5
M15099,22,-79.5
M15100,22,-79.5
M15101,22,-79.5
M15102,22,-79.5
M15103,22,-79.5
M15104,22,-79.5
M15105,22,-79.5
M15106,22,-79.5
M15107,22,-79.5
M15108,22,-79.5
M15109,22,-79.5
M15110,22,-79.5
M15111,22,-79.5
M15112,22,-79.5
M15113,22,-79.5
M15114,22,-79.5
M15115,22,-79.5
M15116,22,-79.5
M15117,22,-79.5
M15118,22,-79.5
M15119,22,-79.5
M15121,22,-79.5
M15122,22,-79.5
M15123,22,-79.5
M15124,22,-79.5
M15125,22,-79.5
M15126,22,-79.5
M15127,22,-79.5
M15128,22,-79.5
M15129,22,-79.5
M15130,22,-79.5
M15131,22,-79.5
M15132,22,-79.5
M15133,22,-79.5
M15134,22,-79.5
M15135,22,-79.5
M15136,22,-79.5
M15137,22,-79.5
M15138,22,-79.5
M15139,22,-79.5
M15140,22,-79.5
M15141,22,-79.5
M15142,22,-79.5
M15143,22,-79.5
M15144,22,-79.5
M15145,22,-79.5
M15146,22,-79.5
M15147,22,-79.5
M15148,22,-79.5
M15149,22,-79.5
M15150,22,-79.5
M15151,22,-79.5
M15152,12.16667,-68.96667
M15153,12.16667,-68.96667
M15154,12.16667,-68.96667
M15155,12.16667,-68.96667
M15156,12.16667,-68.96667
M15157,12.16667,-68.96667
M15158,12.16667,-68.96667
M15159,12.16667,-68.96667
M15160,12.16667,-68.96667
M15161,12.16667,-68.96667
M15162,12.16667,-68.96667
M15163,12.16667,-68.96667
M15164,12.16667,-68.96667
M15165,19.31667,-70.88333
M15166,22,-79.5
M15167,22,-79.5
M15168,22,-79.5
M15169,12.16667,-68.96667
M15170,12.16667,-68.96667
M15171,15.5,-61.33333
M15172,22,-79.5
M15173,22,-79.5
M15174,22,-79.5
M15175,22,-79.5
M15176,22,-79.5
M15177,22,-79.5
M15178,22,-79.5
M15179,22,-79.5
M15180,22,-79.5
M15181,22,-79.5
M15182,22,-79.5
M15183,22,-79.5
M15184,22,-79.5
M15185,22,-79.5
M15186,22,-79.5
M15187,22,-79.5
M15188,22,-79.5
M15189,22,-79.5
M15190,22,-79.5
M15191,22,-79.5
M15192,22,-79.5
M15193,22,-79.5
M15194,22,-79.5
M15195,22,-79.5
M15196,22,-79.5
M15197,22,-79.5
M15198,22,-79.5
M15199,22,-79.5
M15200,22,-79.5
M15201,22,-79.5
M15202,22,-79.5
M15203,22,-79.5
M15204,22,-79.5
M15205,22,-79.5
M15206,22,-79.5
M15207,22,-79.5
M15208,22,-79.5
M15209,22,-79.5
M15210,22,-79.5
M15211,22,-79.5
M15212,22,-79.5
M15213,22,-79.5
M15214,22,-79.5
M15215,22,-79.5
M15216,22,-79.5
M15217,22,-79.5
M15218,22,-79.5
M15219,22,-79.5
M15220,22,-79.5
M15221,22,-79.5
M15222,22,-79.5
M15223,22,-79.5
M15224,22,-79.5
M15225,22,-79.5
M15226,22,-79.5
M15227,22,-79.5
M15228,22,-79.5
M15229,22,-79.5
M15230,22,-79.5
M15231,22,-79.5
M15232,22,-79.5
M15233,22,-79.5
M15234,22,-79.5
M15235,22,-79.5
M15236,22,-79.5
M15237,22,-79.5
M15238,22,-79.5
M15239,22,-79.5
M15240,22,-79.5
M15241,22,-79.5
M15242,22,-79.5
M15243,22,-79.5
M15244,22,-79.5
M15245,22,-79.5
M15246,22,-79.5
M15247,22,-79.5
M15248,22,-79.5
M15249,22,-79.5
M15250,22,-79.5
M15251,22,-79.5
M15252,22,-79.5
M15253,22,-79.5
M15254,22,-79.5
M15255,22,-79.5
M15256,22,-79.5
M15257,22,-79.5
M15258,22,-79.5
M15259,22,-79.5
M15260,22,-79.5
M15261,22,-79.5
M15262,22,-79.5
M15263,22,-79.5
M15264,22,-79.5
M15265,22,-79.5
M15266,22,-79.5
M15267,19,-70.66667
M15268,19,-70.66667
M15269,11.58901,43.14503
M15270,11.58901,43.14503
M15271,11.58901,43.14503
M15272,11.58901,43.14503
M15273,11.58901,43.14503
M15274,11.58901,43.14503
M15275,11.58901,43.14503
M15276,11.58901,43.14503
M15277,11.58901,43.14503
M15278,,
M15279,11.58901,43.14503
M15280,11.58901,43.14503
M15281,,
M15282,45.12219,-92.35297
M15283,-7.31754,72.4524
M15284,-7.31754,72.4524
M15285,-7.31754,72.4524
M15286,-7.31754,72.4524
M15287,11.58901,43.14503
M15288,11.7322750091553,42.5802536010742
M15289,11.75617,79.76693
M15290,11.75617,79.76693
M15291,35,33
M15292,35,33
M15293,35,33
M15294,35,33
M15295,35,33
M15296,22,-79.5
M15297,22,-79.5
M15298,22,-79.5
M15299,22,-79.5
M15300,22,-79.5
M15301,22,-79.5
M15302,22,-79.5
M15303,22,-79.5
M15304,22,-79.5
M15305,22,-79.5
M15306,22,-79.5
M15307,56,10
M15308,10.3117,-74.29786
M15309,10.3117,-74.29786
