 
 Cebu
 Guaymas
300 miles South of San Felipe
30fathoms,
30ft off shore,
31'05'N,114'28.5W,
31.o6'N, 114.02 W,
31km S Vega de Alatorre,
32 mi. SW,
32 mil.S.W.Nossi Be,
33'39.52N,118'13.33W,
350 meters off Garosskagi,
36 Lat.S.,55-30 Long.W.,
39¦40'S, 177¦30'E, Hawke Bay,
4 1/2 miles West of Belfair,
4 m. E of Sullivan,
4 m. E. of Sullivan, Meramec State Park,
4 m.NW of Williamsville, Black River,
4 mi. E of Sullivan, Meramec River,
4 mi. East of Sullivan,
4 mi. southeast of Gedi,
4 mi.S of Orient, Big Darby Creek,
4 miles E of Sulivan,
4 miles E of Sullivan,
4 miles East of Sulivan,
4 miles East of Sullivan,
4 miles N.Coffee Bay
4 miles North of Water Gap,
4 miles South of Destin,
4 miles off Lavalette,
4 miles south of Nossi Be,
4 miles south of Nossy Be,
4.7 miles off west end of island,
4.8 miles ENE of Sneedville,
40 feet off Islamorada
40 miles West of Dry Tortugas
40' off Shakleford Banks
40-90 miles West of Cedar Keys
40¦21'N, 68¦27'W, SW Georges Bank,
40¦23'N, 72¦21'W,
40¦57'N, 69¦00'W,
40¦58'N, 67¦33'W,
41'37'N,124'44'W,
41*23'N, 71*31'W,
41¦14'N, 71¦52'W,
41¦56'N, 66¦55'W,
44 25'S, 59 54'W,
4400 Line, 180 ft.,
44000 Line, 78 ft.,
44¦45'N, 67¦01'W,
46o46'E 19o04'S Lac Itasy
46o46'E 19o04'S Lac Itasy,
46¦54.7'N,27¦39.8'W - 46¦51'N,27¦36.7'W,
47 02'S - 75 36'W, 642 m, VEMA station V-17-15
47 09'S, 60 38'W,
47 35'S, 43 21'W, 
47 miles S.E. of Port Aransas
47 miles SE of Port Aransas
5 Km. East of Fishery Beach, Cape area,
5 mi. W. of
5 miles E of Forksville,
5 miles North of San Felipe,
5 miles from Pointe Apitre.
5 miles north of the Haven
5 miles north of the Haven,
5 miles off Kyoria Beach,
5 miles south of Key West,
5 miles south of Reidsville,at147 bridge
5 miles south of San Felipe
5-6 Mi. S.E. off Miami
5-6 miles S. of Puertocitos
50 meters,
50 miles from San Juan
50-60 meters, offshore
54' off Fernando Beach
55 19'S - 65 49'W, 1274-1362 m, VEMA station V-17-54
55 m.off coast,
55 miles South of Port Elizabeth Cape
55 miles South of Port Elizabeth,
55 miles south Port Elizabeth Cape,
55 miles south of Port Elizabeth,
56 miles SW of Stewart Island,
57 04'S - 61 25'W, 3987 m, VEMA station V-15-119
57-08 N, 164-43 W,
5th Dakar,
5th Phuket,
5th.Phuket,
6 Mi. NE of Hacienda San Lucas( on San Jose Road)
6 m. SSW of Reidsville,
6 mi. NE of Hacienda San Lucas (on San Jose Road)
6 mi. W of N. Anclote Channel
6 miles north of the Haven,
6 miles south of Venice,
6 nmi E of Marathon
6.5 miles west of Hasty,
60 meters off Kushiro,
60 mi.off Tarpon Springs,
60 miles SE of Pittsburgh,
60 miles n. Scammons Lagoon,
60-40 fathoms,
600 feet depth,
65 fathoms off Sombrero Light,
65 miles east of Beach Haven,
65 miles east of Point Pleasant,
65 miles east of Pt. Pleasant,
664 deg., 6-9 fms.
7 Km. East of Gizo,
7 Mile Bridge
7 Mile Bridge,
7 km E of Dar Marbat
7 km from Infanidi
7 km from Infanidiana,
7 mi. NNE Iron City, Wayne Co.,
7 mi.NE Savanna la Mar
7 mile bridge (Florida Keys),
7 miles West of Champerico
7 miles south of Westport,
7 miles west of Champerico
7 miles west of Mazatlan,
7'32"" N., 81'09"" W.,
7'32""N, 81'09""W,
7'32'N, 81'09'W
7'32'N, 81'09'W,
7'32'N,81'09'W,
7'32'N,91'09'W,
7'32N, 81'09'W.,
7'32N,81'09W,
7'34""N-81'12"" W.,
7'34'N-81'12'W.,
7.25 m. W. of Hyperion,
7.5 miles north of Hazelhurst,
7.8 miles NNW of Tullahoma,
70 fathoms
70 ft. of S.E. portion Fisher's Island,
70 ft. off Fishers Island (SE)
70 miles east of St.Augustine,
75 fathoms off Palm Beach,
75 miles NNW of Tortugas,
75 miles east of Cape San Blas,
7km E of Dar Marbat,
8 m.NE of Hazelhurst, Rt.135,
8 mi. E. of Pt. Pleasant,
8 mi. S. of Port Jervis,
8 miles off W.Hyperion,
8'14'N-82'24'W
8.8 miles NW of Marietta
8.8 miles NW of Marietta, Adams Twp.,
80 miles West of Boca Grande
84.2¦N, 25.1¦W,
9 mi W of 107th Ave., Miami
9 mi. S. of Santa Monica,
9.5 mi.NE of Marion, Rich Valley Distr.
90 Mi. off Rio Grande,
90 meters off Saeki City,
90 mi east of Charleston,
90 miles off Woods Hole
90 miles southwest of Cape Sna Blas,
92'37'W, 14'47 N,
92'37'W,14'47'N,
92-110 fathoms west of Dry Tortugas,
92-110 fathoms, West Dry Tortugas,
93'23'W-15'08'N.,
95 mi. W. of Egmont Key,
95% EtOH
95'00 Lat, 15'58' Long.,
95'00 W, 15'58 N,
95'07 Lat.,16'05 Long.,
