PrepIRN	CatPrefix	CatNumber	CatSuffix	BioDateVisitedFrom	BioDateVisitedTo	ExpExpeditionName	BioParticipantString	ClaOrder	ClaFamily	ClaGenus	ClaSpecies	ClaSubspecies	LocContinent	LocCountry	LocDistrictCountyShire	LocIslandGrouping	LocIslandName	LocOcean	LocPreciseLocation	LocProvinceStateTerritory	LocSeaGulf	LocTownship	TerElevationFromMet	TerElevationToMet	TerVerbatimElevation	LatPreferredCentroidLatDec	LatPreferredCentroidLongDec
6364739	SKIN	60684		15 Feb 1894		Museum Expedition	F. M. Chapman			Elainea	p.	martinica		Dominica					Roseau								
6066926	SKIN	226908		08 Feb 1930		Whitney South Sea Expedition	Coultas, Mayr, Eyerdam, Hamlin	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Malaita	South Pacific	Su'u	Malaita Province						-9.166667	160.933333
6068484	SKIN	227691		06 Jan 1930		Whitney South Sea Expedition	Coultas, Eyerdam, Hamlin	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Buena Vista Island	South Pacific		Central Province						-8.893602	160.01183
6068486	SKIN	227692		07 Jan 1930		Whitney South Sea Expedition	Coultas, Eyerdam, Hamlin	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Buena Vista Island	South Pacific		Central Province						-8.893602	160.01183
6069974	SKIN	228385		27 Sep 1929		Whitney South Sea Expedition	Hamlin, Mayr	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Choiseul	South Pacific		Choiseul Province							
6066928	SKIN	226909		11 Feb 1930		Whitney South Sea Expedition	Coultas, Mayr, Eyerdam, Hamlin	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Malaita	South Pacific	Su'u	Malaita Province						-9.166667	160.933333
6069972	SKIN	228384		24 Sep 1929		Whitney South Sea Expedition	Hamlin, Mayr	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Choiseul	South Pacific		Choiseul Province							
6069978	SKIN	228387		27 Sep 1929		Whitney South Sea Expedition	Hamlin, Mayr	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Choiseul	South Pacific		Choiseul Province							
5772237	SKIN	329083		07 Aug		Whitney South Sea Expedition	H. Hamlin	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands		New Georgia Islands	Tetepari	South Pacific	Tetepari Plantation	Western Province						-8.736192	157.551405
6069976	SKIN	228386		01 Nov 1929		Whitney South Sea Expedition	Hamlin, Mayr	Cuculiformes	Cuculidae	Eudynamys	orientalis		Oceania	Solomon Islands			Choiseul	South Pacific	Taro Island	Choiseul Province						-6.711282	156.396881
5586451	SKIN	436355		03 Oct 1913			R. W. Peavey	Falconiformes	Falconidae	Falco	peregrimus	anaturn	North and Central America	USA					Seaford, L.I.	New York							
6304589	SKIN	64262		05 Jun 1895		Mus. Exped., Oct 1895	L S. Dyche			Falmarus	glacialis		North and Central America	Greenland					"Ocean" (North Atlantic)								
6304591	SKIN	64263		05 Jun 1895		Mus. Exped., Oct 1895	L S. Dyche			Falmarus	glacialis		"Ocean"						(North Atlantic)								
6304593	SKIN	64264		05 Jun 1895		Mus. Exped., Oct 1895	L S. Dyche			Falmarus	glacialis		"Ocean"						(North Atlantic)								
6532272	EN	17193		09 Jun 1947			J B Dixon	Charadriiformes	Laridae	Gelochelidon									Salton Sea California								
2057084	SKIN	828084		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057054	SKIN	828074		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057057	SKIN	828075		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057063	SKIN	828077		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057069	SKIN	828079		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057072	SKIN	828080		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057075	SKIN	828081		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057081	SKIN	828083		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057052	SKEL	14488		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057087	SKIN	828085		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057090	SKIN	828086		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
